Data;Usuário;Nome;Tweet
2022-03-14 13:41:33+00:00;LeeoVenuto;𝘝𝘦𝘯𝘶𝘵𝘵𝘰💬;"@comentandotvbr @ANAMARIABRAGA Isso é fanfic do Flávio Rico que é contratado da Record e soltou essa nota falsa pq sabe que o BG não vê a liderança desde da dobradinha "" JH "" + ""O Cravo e A Rosa"""
2022-03-14 13:35:03+00:00;LeeoVenuto;𝘝𝘦𝘯𝘶𝘵𝘵𝘰💬;"@CelioAndrade370 @comentandotvbr @ANAMARIABRAGA Isso é fanfic do Flávio Rico que é contratado da Record e soltou essa nota falsa pq sabe que o BG não vê a liderança desde da dobradinha "" JH "" + ""O Cravo e A Rosa"""
2022-03-14 13:14:08+00:00;claricens_;cl;não sei mais distinguir o que é fic do que realmente acontece nesse bbb https://t.co/TiaXuUQpX6
2022-03-14 13:13:26+00:00;a_nameira;Ana Paula, que não é a do vôlei;@OhRennan A única coisa engraçada que surgiu desse BBB foi essa fic da gravidez kkkkk
2022-03-14 12:51:51+00:00;evanknotgirl;Dai (Taylor’s version)🧣;@danverskrol Todo bbb agora tem uma gay fanfiqueira que se apaixona por ht e cria uma fic achando que o ht tem obrigação de corresponder?
2022-03-14 12:26:00+00:00;mellowilso;wilso;De onde surgem essas páginas que comentam o BBB? Que fanfic é essa de achar que está entre Scooby e Gustagol? https://t.co/rPHPTwVKvi
2022-03-14 11:17:11+00:00;kagamiffc;hannis;@retrogrrlx nessa idade o que mais tem é menina (e muitas vezes menino tbm) escrevendo fic de cantor baseada em crepúsculo hp e novela da globo não sei o que tem de irrealista nisso !
2022-03-14 11:02:57+00:00;dangerluks;lucas;pensei que a mulher que tava sentada do meu lado no metro tava lendo fanfic na wattpad, ela tava lendo a bíblia...
2022-03-14 09:50:10+00:00;jazaoagusto;Marconi Augusto;@RickSouza @flavioricco Sério q vcs vão cair nessa fic do assessor de imprensa da Record? Desde que esse homem saiu do UOL, sua coluna virou um amontoado de press release da Record. Perdeu a credibilidade. Até barrigada já deu. O coitado precisa apelar pra fic para que o povo lembre que a coluna existe
2022-03-14 05:22:23+00:00;Gabi_sdmr;Gabi assistindo bbb e torcendo p ele ficar melhor;Eu me perco todinha com fanfic d bbb serio KKKKKKKKKA
2022-03-14 04:53:59+00:00;lorenaasantosc;Lorena;tô aqui assistindo a jade no domingão , ela viveu uma fanfic no bbb kkkkkkkk
2022-03-14 04:40:49+00:00;voltanxstan;old dolio;toda larissa é fanfiqueira a do bbb eu e a anitta somos a prova disso
