Data;Usuário;Nome;Tweet
2022-03-14 23:53:51+00:00;lpjaparrilla;Lya✧;A fic na minha mesa já https://t.co/5qDmIEtPHt
2022-03-14 23:53:49+00:00;mikescottscarn;Raphael;"@pridelazende @Vitorialazende que bom que ele não tampou, iriam achar que ela estava grávida kkkkkkkkkkk vê o contexto, ela manda uma msg, ele esconde e dps ela escreve ""tô apavorada"", ele responde a msg escondida, ""Jesus, isso é impossível"", a fic tava pronta hahahahahah"
2022-03-14 23:53:49+00:00;MandyKetti;Mands;@mrnsmtt ela faz a fic dela
2022-03-14 23:53:48+00:00;sehuown;barbs;eu colocando bastante danyok na fanfic pra superar oq tá acontecendo em not me
2022-03-14 23:53:45+00:00;iniciarep;ana 🐤🐻;Vi dois segundos (nem sei se vi mesmo) e já criei toda uma fanfic, parabéns por ser trouxa! 🤝🏻
2022-03-14 23:53:22+00:00;TamilaHesed;Tamila;@lovebridgerton A fic foi boa KKKK Mas eles so descobrem que ele pinta na s3 quando a Sophie menciona que ele é ótimo pintor pelo menos é isso que livro 3 diz
2022-03-14 23:53:11+00:00;goldsainz;bru;pra quem tá contando coisa de traição de piloto favor fazer isso com detalhes sendo verdadeira ou não, fofoca boa é fofoca detalhada e fic vai ser melhor julgada se tiver detalhes né, aproveita pra estimular a criatividade também
2022-03-14 23:53:09+00:00;ANASN0THERE;ana;vou voltar a ler fanfic não ironicamente
2022-03-14 23:53:06+00:00;carolinaafe2;carolzinha;eu leria horas a continuação dessa fic https://t.co/bPEFUdxF2H
2022-03-14 23:53:03+00:00;de_sariette;Alanaa;@atheninhe Iih, qual é a fic? Serassi vem aí?
2022-03-14 23:52:58+00:00;pjswar;grimm-glitch mode;@spositowho você simplesmente sumiu da minha tl de vdd, eu achei que vc tinha SLA, superado o site ter, enfim, vc me lembra vôlei e minha capa de fanfic
2022-03-14 23:52:57+00:00;Brutimo1;Bruno🚀;@dedecomentts E fanficar d+ achar qui o pedido vem nessa viagem si a Laís for e claro kkkkk
2022-03-14 23:52:53+00:00;aninhaakkjkkj;aninha 🌙;Mano n é possível q tão fazendo fanfic hot do daelo, juro o menino tem literalmente 7 anos
2022-03-14 23:52:41+00:00;cloudsdevora;ؘ;@dayapeituda @vinniescar @imnotsns lembra aquela frase que você falou que parecia trecho de fanfic vou achar
2022-03-14 23:52:34+00:00;minniebrisamari;Minnie Debochada 🧺;@Catheri78159001 @CentralReaIity Gravida fica assim Tb kkkkk tô zoando não cai nessa fic kkkkk
2022-03-14 23:52:10+00:00;indiannary;a + gata;@Welyybispo ela faz a fic dela KKKKKKK
2022-03-14 23:52:08+00:00;_Joaozinho7_;Ben denyson;"@Laura_Nubia_ff quando for fazer a fic coloca esse nome ""emos do mato"""
2022-03-14 23:52:03+00:00;zionmita;ִֶָ;@369bot fanfic horrivel e ainda tem a fonte feiosa
2022-03-14 23:52:01+00:00;ottoox;gio ᴘʀᴇsᴛʟʏ sᴀᴄʜsシ︎🌈;isso se chama: FANFIC https://t.co/Ok8l0I3xHP
2022-03-14 23:51:45+00:00;_MelCandy;ᶻz ﹐✦ Mel 🌿ꜝꜝ;chorando por causa da fic q a henry fez
2022-03-14 23:51:43+00:00;hstprada;ؘ;@leodolou_ fic da isa?
2022-03-14 23:51:41+00:00;wergrayson;ray claire redfield gf ⚤| 📖: king's cage;pelo amor de deus alguém me alguma au ou fanfic da emaline e da Kate
2022-03-14 23:51:29+00:00;levyminyard;yani 🔮;@lonelymukegirl depois de mais de um mês sem conseguir escrever nada dessa fic to me sentindo ótimo
2022-03-14 23:51:25+00:00;fealface;Felipe Alface;Gente, será que na próxima festa já vamos ter mais episódios da minha fic predileta? #BBB22 https://t.co/cFaVcKosZB
2022-03-14 23:51:22+00:00;tstylinsonxz;ᴛʜᴀʏ 🚬 || ʟᴛᴡᴛ;"toda vez que sai att de extorsionário eu mando mensagem surtando pra minha melhor amiga e ela sempre fica ""thayna conta direiro o que aconteceu depois????"" E ELA NEM LÊ FIC LARRY"
2022-03-14 23:51:19+00:00;Fern4nd4Garci4;Fernanda Garcia;GENTE, algum(a) autor(a) que quer uma ideia de plot pra AU ou pra fábrica,mi chama na dm,pq eu tive um ideia foda,mas não sei fazer nem AU e nem fanfic...
2022-03-14 23:51:19+00:00;forkswann;jurídico kristen stewart;eu não conheço esse projeto mas toda vez q aparece alguma fic na minha tl eu fico apaixonada pensando no plot por horas estao todas na minha listinha https://t.co/xMc4RTmrlZ
2022-03-14 23:50:50+00:00;DOYE0NART;"lili ♡'s ma;mi.";para de me fazer sonhar com esses papo de casamento maternidade vsf eu tava mt bem traumatizada e agr estou fanficando
2022-03-14 23:50:45+00:00;xiaoobf;nano🥍 | 📖:;@rubyvsoo tenho sss n gasto dinheiro comprando libro de fic ate pq n tenho dinheiro
2022-03-14 23:50:36+00:00;h7artk1tty;Kitty:);"Mlk, eu sou &gt;CLICHÊ&lt;, então se você não me abraçar do nada por trás, não me segurar pra te beijar, não dormir agarrado comigo, não ver série adolescente comigo, não ouvir música comigo, não me beijar no cinema, não viver uma fanfic comigo, EU NÃO VOU QUERER MAIS VOCÊ, SE LIGA!!!"
2022-03-14 23:50:26+00:00;vinniescar;rayssa;@dayapeituda @cloudsdevora @imnotsns a gente tava falando de fanfic, agora é assunto da vida da Carol KKKKKK
2022-03-14 23:49:56+00:00;byphobic_;july❄️;@cherrysanachan @badrezin @ifxbaysfreire @tracklist do twice surrar o bp em beleza sim é fic rs
2022-03-14 23:49:52+00:00;zhlbeaa;beaa 🤎 | meio off;@lwouissun é uma fic amg, mt boa por sinal tô amando ela se quiser te mando o link
2022-03-14 23:49:49+00:00;mountmson;bia.;@luacpretti eu tbm, mas geralmente é fic então nem faz muita diferença kkkkk
2022-03-14 23:49:48+00:00;nandapertile;Nanda Pertile;@DailyFlagui Meu casal pra sempre ❤️ vou fazer uma fic desses dois
2022-03-14 23:49:42+00:00;crf_azarias;Sté CADELINHA DO ALEX MÁRQUEZ;Um bilionário solteiro, aí Stroll vamo viver nossa fic gatinho
2022-03-14 23:49:38+00:00;fairyjosten;♟️◞𖥻 yoon ٫٫ thinking about aftg 💭;eu: *coloco a tag que eu NÃO quero que apareça no filtro do ao3 e coloco pra pesquisar* ao3: *de cara me recomenda uma fic com a exata tag que eu NÃO queria* 🤡🤡🤡
2022-03-14 23:49:38+00:00;pigmeu_rosa;silvaaxx.x;"""Fanfic"" Eu e elx Barbie passando na tv pipoca,joquem po pra ver quem apaga a luz so queria isso e agr Geovani?"
2022-03-14 23:49:34+00:00;StarToDown;Dark 🦊;@foxyejosten @Anna_Clara_GL Mais como costume de caçar fanfic como passatempo
2022-03-14 23:49:34+00:00;overdoseacafe;Noite Manu • Night Many;@saturxies Eu assistia uma fanfic dessas no YouTube Pena que ela foi excluída (foi meu primeiro contato com fanfic depois foi turma da Mônica pll)
2022-03-14 23:49:26+00:00;drewlovly;yas | was drewsclinx;@ooops_rick não tô lendo fanfic ultimamente
2022-03-14 23:49:16+00:00;acciohffle;mαrinα;sempre que eu vejo o final de rdm2 eu tenho vontade de ler fanfic dos filhos deles
2022-03-14 23:49:09+00:00;Orbitlindinho;Edu 🍴🤎;@mihyofine é fic dela, nao é ******* , é helena que ta no rg da sundra
2022-03-14 23:49:08+00:00;cloudsdevora;ؘ;@dayapeituda @vinniescar @imnotsns carol isso eh mto fanfic tenho autorização pra colocar em swing in the garden ou não
2022-03-14 23:48:54+00:00;Anajuulinda;Anaju;To lendo uma fic no wattpad que mistura the vampire diares e crepúsculo, gente q coisa boa
